Date,Close,EMA12,EMA26
2016-06-15,15.96,"15.2","14.94"
2016-06-14,15.36,"14.81","14.85"
2016-06-13,14.55,"14.69","14.81"
2016-06-10,14.2,"14.72","14.83"
2016-06-09,14.60,"14.88","14.90"
2016-06-08,14.95,"14.94","14.93"
2016-06-07,15.0,"14.94","14.93"
2016-06-06,15.27,"14.93","14.92"
2016-06-03,15.20,"14.85","14.89"
2016-06-02,15.20,"14.78","14.86"
2016-06-01,15.2,"14.68","14.84"
2016-05-31,15.22,"14.61","14.82"
2016-05-27,15.10,"14.47","14.78"
2016-05-26,14.30,"14.33","14.76"
2016-05-25,14.41,"14.33","14.80"
2016-05-24,14.3,"14.32","14.83"
2016-05-23,14.41,"14.38","14.90"
2016-05-20,14.43,"14.38","14.94"
2016-05-19,14.15,"14.36","14.99"
2016-05-18,14.14,"14.41","15.6"
2016-05-17,14.34,"14.47","15.14"
2016-05-16,14.29,"14.50","15.21"
2016-05-13,14.10,"14.55","15.29"
2016-05-12,14.8,"14.65","15.39"
2016-05-11,14.59,"14.77","15.51"
2016-05-10,14.63,"14.81","15.59"
2016-05-09,14.20,"14.85","15.67"
2016-05-06,14.40,"15.0","15.80"
2016-05-05,14.12,"15.13","15.92"
2016-05-04,14.84,"15.36","16.7"
2016-05-03,14.1,"15.47","16.18"
2016-05-02,14.40,"15.80","16.37"
2016-04-29,14.62,"16.11","16.54"
2016-04-28,14.64,"16.44","16.71"
2016-04-27,14.86,"16.84","16.89"
2016-04-26,17.75,"17.28","17.7"
2016-04-25,17.9,"17.17","17.1"
2016-04-22,17.23,"17.19","17.0"
2016-04-21,17.51,"17.19","16.98"
2016-04-20,17.40,"17.11","16.93"
2016-04-19,16.92,"17.5","16.89"
2016-04-18,17.31,"17.8","16.89"
2016-04-15,17.58,"17.3","16.84"
2016-04-14,17.53,"16.91","16.77"
2016-04-13,17.37,"16.77","16.68"
2016-04-12,16.57,"16.63","16.60"
2016-04-11,16.51,"16.65","16.61"
2016-04-08,16.65,"16.68","16.62"
2016-04-07,16.98,"16.68","16.61"
2016-04-06,17.26,"16.62","16.56"
2016-04-05,17.5,"16.47","16.44"
2016-04-04,17.9,"16.34","16.33"
2016-04-01,15.98,"16.18","16.18"
2016-03-31,16.55,"16.22","16.22"
2016-03-30,16.36,"16.14","16.14"
2016-03-29,15.97,"16.8","16.8"
2016-03-28,15.60,"16.11","16.11"
2016-03-24,15.91,"16.32","16.32"
2016-03-23,16.1,"16.53","16.53"
2016-03-22,16.86,"16.87","16.87"
2016-03-21,16.89,"16.88","16.88"
2016-03-18,16.85,"16.85","16.85"
2016-03-17,16.85,"33.71","33.71"
