4644,briefing,harvey,2017-09-01,What to Read About Hurricane Harvey,,y,harvey
4174,briefing,harvey,2017-08-30,From Forecast to Disaster: A Timeline at the National Hurricane Center,,y,harvey
4042,briefing,harvey,2017-08-29,"With Death Toll at 30, Storm Makes 2nd Landfall",,,harvey
4015,sports,harvey,2017-08-29,A Houston Astros Home Series Is Moved to Florida,,,harvey
4137,briefing,harvey,2017-08-29,"Stalled Over Gulf, Harvey Deepens Texansâ Soggy Misery",,y,harvey
3865,weather,harvey,2017-08-28,How Hurricane Harvey Became So Destructive,,y,harvey
3889,briefing,harvey,2017-08-28,Cities Gear Up to Take In Storm Victims From Texas Coast,,y,harvey
3892,briefing,harvey,2017-08-28,Hurricane Harvey: The Devastation and What Comes Next,,y,harvey
3972,katrina,harvey,2017-08-28,How Does Harvey Compare With Hurricane Katrina? Hereâs What We Know,,y,harvey
3786,briefing,harvey,2017-08-27,Harvey Brings Catastrophic Floods to Houston; at Least Five Reported Dead,,,harvey
3702,Texas,harvey,2017-08-26,"Hurricane Harvey Strikes a Powerful Blow to Texas, and Lingers",,,harvey
3694,briefing,harvey,2017-08-26,"Harvey, Now a Tropical Storm, Carves a Path of Destruction Through Texas",,,harvey
3679,briefing,harvey,2017-08-25,"Hurricane Harvey Makes Landfall Near Corpus Christi, Tex.",,,harvey
3483,briefing,harvey,2017-08-25,"Hurricane Harvey: Storm Roars Ashore Near Corpus Christi, Tex.",,,harvey
3225,briefing,harvey,2017-08-23,Remnants of Tropical Storm Harvey Gain Strength and Hurricane Watch Is Posted,,,harvey
