RDS ID,Title,HS
6495,Trump Resurrects His Claim That Both Sides Share Blame in Charlottesville Violence,QRY
3041,"At Rally, Trump Blames Media for Country’s Deepening Divisions",98
1733,Trump’s Remarks on Charlottesville Violence Are Criticized as Insufficient,96
6333,After Charlottesville  Black Republican Gives Trump a History Lesson on Racism',96
1891,New Outcry as Trump Rebukes Charlottesville Racists 2 Days Later,93
2225,"Unlike His Predecessors, Trump Steps Back From a Moral Judgment",90
2340,"Defiant, Trump Laments Assault on Culture and Revives a Bogus Pershing Story",90
2256,Trump's Fighting Words on Charlottesville,90
1790,White House Acts to Stem Fallout From Trump’s First Charlottesville Remarks,89
3000,Ryan Condemns Trump’s ‘Both Sides’ Remark but Tries to Move On,88
2182,Right and Left React to Trumps Latest Charlottesville Comments Blaming Both Sides,88
1991,How Mr. Trump Could Face Up to White Supremacists,87
1778,What Trump Got Wrong on Charlottesville,87
1945,President Trump Cannot Redeem Himself,85
3270,U.N. Panel Condemns Trump's Response to Charlottesville Violence,84
1969,"Under Armour and Intel C.E.O.s Follow Merck Chief, Quitting Panel in Rebuke to Trump",82
2102,Mr. Trump Makes a Spectacle of Himself,81
6169,'Congress Passes Measure Challenging Trump to Denounce Hate Groups',80
2421,Charlottesville Violence and Trump's Reaction Draw Criticism Abroad,80
2210,'Jewish Trump Staff Silent on His Defense of Rally With Anti-Semitic Marchers',79
1886,Sessions Emerges as Forceful Figure in Condemning Charlottesville Violence,78
3548,Gary Cohn  Trumps Adviser  Said to Have Drafted Resignation Letter After Charlottesville',78
2277,Trump Comments on Race Open Breach With C.E.O.s  Military and G.O.P.',75
6858,'Is Trump a White Supremacist?',73
2389,'How the Media Captured Charlottesville and Its Aftermath',70
3104,'Business Groups Court White House Even After C.E.O. Defections',60
