token,stem
's,'s
1,1
120,120
14,14
15,15
16,16
188,188
1906,1906
19061976,19061976
1928,1928
1930,1930
1931,1931
1934,1934
1941,1941
1943,1943
1944,1944
194511,194511
1947,1947
1949,1949
1950,1950
1950s,1950s
1952,1952
1954,1954
1959,1959
1966,1966
1967,1967
1970s,1970s
1971,1971
1972,1972
1973,1973
1977,1977
1980s,1980s
1983,1983
1985,1985
1986,1986
1991,1991
1992,1992
2016,2016
22,22
23,23
30,30
300,300
34,34
341,341
38,38
40,40
42,42
54,54
60,60
68,68
79,79
8,8
85,85
9,9
984,984
a0,a0
a02111,a02111
able,abl
aboard,aboard
absence,absenc
accept,accept
accepted,accept
access,access
accomplished,accomplish
accordance,accord
account,account
acronym,acronym
across,across
active,activ
activeduty,activeduti
actual,actual
actually,actual
administration,administr
admiral,admir
admirals,admir
admission,admiss
admitted,admit
advanced,advanc
advocated,advoc
again,again
age,age
aid,aid
aids,aid
aiken,aiken
alarm,alarm
alexander,alexand
all,all
along,along
also,also
alternating,altern
although,although
alumna,alumna
always,alway
ambassador,ambassador
american,american
among,among
an,an
and,and
anecdotes,anecdot
appearing,appear
appointment,appoint
approval,approv
arithmetic,arithmet
arleigh,arleigh
arlington,arlington
ask,ask
asked,ask
assembly,assembl
assigned,assign
assignment,assign
associate,associ
associates,associ
assumed,assum
attempted,attempt
attended,attend
attrition,attrit
audience,audienc
august,august
automatic,automat
available,avail
awarded,award
bachelor,bachelor
back,back
barack,barack
based,base
basis,basi
battle,battl
bay,bay
became,becam
become,becom
began,began
beginning,begin
belief,belief
believed,believ
beta,beta
beyond,beyond
book,book
born,born
boston,boston
brewster,brewster
brought,brought
bug,bug
building,build
bureau,bureau
burkeclass,burkeclass
business,busi
businessoriented,businessori
calculator,calcul
called,call
calling,call
campbell,campbel
captain,captain
captured,captur
career,career
careful,care
case,case
causes,caus
celebration,celebr
cemetery,cemeteri
centralized,central
ceremony,ceremoni
championed,champion
chances,chanc
charles,charl
chester,chester
child,child
children,children
chose,chose
church,church
city,citi
civil,civil
class,class
clock,clock
clocks,clock
close,close
cmthe,cmthe
coauthored,coauthor
cobol,cobol
codasyl,codasyl
code,code
coil,coil
college,colleg
collegiate,collegi
come,come
commander,command
commemorate,commemor
commissioned,commiss
committee,committe
committees,committe
commodore,commodor
common,common
communication,communic
company,compani
competitive,competit
compiled,compil
compiler,compil
compilerbased,compilerbas
compilers,compil
components,compon
computation,comput
computer,comput
computerrelated,computerrel
computers,comput
computing,comput
comtran,comtran
conclusion,conclus
conference,confer
conformance,conform
congress,congress
consortium,consortium
constitution,constitut
consultant,consult
consulted,consult
continued,continu
contract,contract
contrasting,contrast
controlled,control
convergence,converg
converted,convert
corporation,corpor
crane,crane
cray,cray
create,creat
created,creat
creating,creat
crew,crew
criteria,criteria
curious,curious
d,d
data,data
databases,databas
date,date
day,day
days,day
dc,dc
death,death
debugging,debug
dec,dec
december,decemb
decided,decid
declined,declin
decoration,decor
defense,defens
defiance,defianc
defined,defin
degree,degre
degrees,degre
demand,demand
denied,deni
department,depart
descent,descent
described,describ
destroyer,destroy
determine,determin
developed,develop
developing,develop
development,develop
devise,devis
dialects,dialect
died,die
digital,digit
direction,direct
director,director
discovered,discov
dismantled,dismantl
dissertation,dissert
distance,distanc
distinguished,distinguish
distributed,distribut
divorce,divorc
do,do
done,done
dress,dress
due,due
dutch,dutch
duty,duti
dying,die
e,e
early,earli
earned,earn
easier,easier
eckertmauchly,eckertmauch
education,educ
effective,effect
effort,effort
efforts,effort
eight,eight
eldest,eldest
electronic,electron
elliot,elliot
elmo,elmo
em,em
employee,employe
employees,employe
end,end
engineering,engin
engineering39,engineering39
english,english
enlist,enlist
entire,entir
entirely,entir
equipment,equip
equivalent,equival
events,event
everyone,everyon
exchange,exchang
exemption,exempt
exhibited,exhibit
expense,expens
experiences,experi
experts,expert
explained,explain
extended,extend
facilities,facil
famous,famous
fast,fast
favor,favor
feet,feet
fellow,fellow
female,femal
find,find
fine,fine
finished,finish
first,first
five,five
fleet,fleet
fletcher,fletcher
flowmatic,flowmat
following,follow
foot,foot
forget,forget
formal,formal
former,former
fortran,fortran
forums,forum
foster,foster
fought,fought
found,found
freedom,freedom
full,full
fulltime,fulltim
g,g
gave,gave
generally,general
generals,general
generous,generous
get,get
giving,give
goes,goe
going,go
good,good
goodwill,goodwil
government,govern
grace,grace
grade,grade
graduated,graduat
grains,grain
grandma,grandma
greatgrandfather,greatgrandfath
ground,ground
group,group
guide,guid
guidedmissile,guidedmissil
h,h
had,had
half,half
handed,hand
handing,hand
hartridge,hartridg
harvard,harvard
headed,head
height,height
held,held
her,her
higher,higher
highest,highest
highlevel,highlevel
hired,hire
history,histori
hjres,hjres
holyoke,holyok
home,home
honor,honor
honorary,honorari
honors,honor
hopper,hopper
horne,horn
house,hous
howard,howard
hyman,hyman
i,i
ibm,ibm
idea,idea
ideas,idea
ii,ii
illustrate,illustr
impeded,imped
implementation,implement
important,import
inches,inch
including,includ
income,incom
indefinite,indefinit
individual,individu
industry,industri
information,inform
initially,initi
inside,insid
insisted,insist
inspired,inspir
instance,instanc
instead,instead
institute,institut
institution,institut
interred,inter
intervals,interv
interview,interview
invented,invent
irreducibility,irreduc
irreverent,irrever
is,is
it,it
january,januari
jay,jay
jean,jean
jersey,jersey
jest,jest
job,job
joined,join
joining,join
joint,joint
jr,jr
junior,junior
just,just
kappa,kappa
keep,keep
kg,kg
kinds,kind
know,know
known,known
lab,lab
language,languag
languages,languag
large,larg
largescale,largescal
later,later
latin,latin
lead,lead
leahy,leahi
leave,leav
lectured,lectur
lectures,lectur
led,led
length,length
lieutenant,lieuten
life,life
lifelong,lifelong
lifetime,lifetim
light,light
like,like
limited,limit
linker,linker
linkers,linker
linkloader,linkload
literal,liter
lively,live
located,locat
log,log
logs,log
long,long
long118,long118
longer,longer
low,low
lower,lower
machine,machin
machineindependent,machineindepend
made,made
major,major
make,make
mandatory,mandatori
manipulating,manipul
manipulators,manipul
many,mani
march,march
mark,mark
market,market
married,marri
marry,marri
mary,mari
massachusetts,massachusett
master,master
mathematical,mathemat
mathematician,mathematician
mathematicians,mathematician
mathematics,mathemat
mathmatic,mathmat
maximum,maximum
me,me
meantime,meantim
medal,medal
members,member
mentioned,mention
meters,meter
metonym,metonym
microsecond,microsecond
midshipmen,midshipmen
military,militari
minimum,minimum
minutes,minut
mobile,mobil
months,month
moth,moth
mother,mother
mount,mount
much,much
murray,murray
museum,museum
named,name
nanosecond,nanosecond
nanoseconds,nanosecond
national,nation
natural,natur
naval,naval
navy,navi
nbs,nbs
need,need
neither,neither
nersc,nersc
network21119,network21119
networks,network
new,new
nickname,nicknam
nimitz,nimitz
nine,nine
nist,nist
nobody,nobodi
node,node
noncombat,noncombat
northampton,northampton
notation,notat
november,novemb
née,née
obama,obama
obligations,oblig
obtained,obtain
octal,octal
offered,offer
office,offic
officer,offic
officers,offic
official,offici
old,old
older,older
oldest,oldest
one,one
operation,oper
operational,oper
ore11,ore11
original,origin
originally,origin
originating,origin
ovation,ovat
packets,packet
paper,paper
papers,paper
parents,parent
part,part
participated,particip
passed,pass
pay,pay
people,peopl
pepper,pepper
period,period
persisted,persist
phd,phd
phi,phi
philip,philip
phrase,phrase
physics,physic
picoseconds,picosecond
pieces,piec
pioneer,pioneer
pirate,pirat
plainfield,plainfield
planning,plan
policy,polici
position,posit
possible,possibl
posthumously,posthum
postretirement,postretir
pounds,pound
preparatory,preparatori
president,presid
presidential,presidenti
primarily,primarili
prior,prior
process,process
processing,process
processors,processor
professional,profession
professor,professor
professorship,professorship
program,program
programmers,programm
programming,program
programs,program
project,project
promoted,promot
promotion,promot
promotions,promot
proposed,propos
published,publish
quickly,quick
r,r
rand,rand
rank,rank
rather,rather
ratio,ratio
reach,reach
reagan272829,reagan272829
realized,realiz
really,realli
rear,rear
reasons,reason
recalled,recal
received,receiv
recommended,recommend
referred,refer
regular,regular
regulations,regul
rejected,reject
relay,relay
release,releas
released,releas
remained,remain
remains,remain
remarks,remark
remington,remington
renamed,renam
replace,replac
reported,report
representative,repres
representatives,repres
represented,repres
representing,repres
republican,republican
request,request
research,research
reserve,reserv
reserves,reserv
resolution,resolut
retain,retain
retained,retain
retired,retir
retirement,retir
return,return
rich,rich
rickover,rickov
rita,rita
ronald,ronald
running,run
russell,russel
said,said
salary,salari
sammet,sammet
satellite,satellit
saw,saw
say,say
school,school
scientist,scientist
scores,score
scottish,scottish
segment,segment
senior,senior
sequence,sequenc
serve,serv
served,serv
service,servic
serving,serv
seven,seven
several,sever
sharing,share
she,she
ship,ship
ships,ship
shortterm,shortterm
signals,signal
significant,signific
significantly,signific
sixmonth,sixmonth
sleep,sleep
slowly,slowli
small,small
smith,smith
smithsonian,smithsonian
so,so
software,softwar
spanned,span
speaker,speaker
speaking,speak
special,special
speed,speed
spring,spring
staff,staff
standardization,standard
standards,standard
standing,stand
started,start
statement,statement
states,state
stewart,stewart
still,still
stir,stir
stories,stori
stuck,stuck
style,style
subject,subject
subtract,subtract
such,such
supercomputer,supercomput
surname,surnam
sworn,sworn
symbol,symbol
symbols,symbol
system234,system234
systems,system
take,take
taken,taken
talks,talk
tax,tax
teaching,teach
team,team
technical,technic
technology,technolog
tell,tell
term,term
terms,term
test,test
testing,test
tests,test
that,that
the,the
theory,theori
thing,thing
think,think
this,this
three,three
throughout,throughout
thursdays,thursday
time,time
today,today
together,togeth
told,told
took,took
touch,touch
track,track
trained,train
training,train
trait,trait
transfer,transfer
translate,translat
translated,translat
travel,travel
travels,travel
treasury,treasuri
tried,tri
try,tri
trying,tri
turned,turn
turning,turn
twoday,twoday
types,type
typical,typic
ubiquitous,ubiquit
understand,understand
understood,understood
uniform,uniform
united,unit
univac,univac
universities,univers
university,univers
unlimited,unlimit
up,up
us,us
use,use
used,use
user,user
users,user
using,use
uss,uss
vacuum,vacuum
validation,valid
valuable,valuabl
van,van
various,various
vassar,vassar
vendors,vendor
version,version
vincent,vincent
virginia,virginia
visited,visit
visits,visit
visual,visual
volunteered,volunt
w,w
walter,walter
war,war
war823,war823
wartime,wartim
was,was
washington,washington
waves,wave
weight,weight
well,well
went,went
west,west
widely,wide
william,william
willing,will
wilson,wilson
wire,wire
wires,wire
women,women
words,word
wore,wore
work,work
worked,work
working,work
world,world
write,write
written,written
xe6,xe6
yale,yale
yavinsky,yavinski
year,year
years,year
york,york
young,young
zumwalt,zumwalt
øystein,øystein
